OSEBuildingID;BuildingType;PrimaryPropertyType;PropertyName;Latitude;Longitude;YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);LargestPropertyUseType;ENERGYSTARScore;SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);Electricity(kWh)
19910;NonResidential;Medical Office;King Co Public Health;47.6146;-122.34217;1952;1;4;26670;0;26670;Medical Office;51;1553208.375;1640803.5;455209.5938
19911;Multifamily MR (5-9);Mid-Rise Multifamily;Lee Court;47.61496;-122.34188;1991;1;6;41834;0;41834;Multifamily Housing;;1044220.625;1091417.25;306043.5
19913;Multifamily LR (1-4);Low-Rise Multifamily;Charlesgate Apartments;47.61536;-122.34348;1922;1;3;34060;0;34060;Multifamily Housing;86;2195828;2421341.5;109155
19915;Multifamily MR (5-9);Mid-Rise Multifamily;Windham Building;47.61513;-122.34223;1925;1;7;37300;0;37300;Multifamily Housing;46;1807738.25;1968193.25;326503
19917;Nonresidential COS;Other;Fire Station 02;47.61607;-122.34449;1922;1;2;37740;0;37740;Fire Station;;3095882;3356598;498054.5
19918;Multifamily MR (5-9);Mid-Rise Multifamily;Fountain Court;47.6165;-122.34512;1998;1;6;328947;0;328947;Multifamily Housing;79;8233527.5;8561209;2279957.25
19919;Multifamily MR (5-9);Mid-Rise Multifamily;Sidney Apartments;47.61706;-122.34624;2000;1;6;160141;40377;119764;Multifamily Housing;74;3603765.25;3680711;1056203
19920;Multifamily LR (1-4);Low-Rise Multifamily;Devonshire;47.61724;-122.34594;1925;1;3;44736;0;44736;Multifamily Housing;82;2400507.25;2594218.75;154402.4063
19921;Multifamily LR (1-4);Low-Rise Multifamily;STONECLIFF;47.61768;-122.34695;1923;1;3;22400;0;22400;Multifamily Housing;57;743748.5;811901.5;217980.2031
19922;Multifamily HR (10+);High-Rise Multifamily;Bayview Tower;47.61768;-122.34716;1979;1;13;70200;0;70200;Multifamily Housing;9;3742915;3994183;1096985.5
19923;Multifamily MR (5-9);Mid-Rise Multifamily;Edwards on Fith Apartments;47.61809;-122.34697;1929;1;6;21840;0;21840;Multifamily Housing;94;890977.8125;945404.375;127341.8984
19924;Multifamily LR (1-4);Low-Rise Multifamily;Davenport;47.61789;-122.34658;1925;1;3;33880;0;33880;Multifamily Housing;64;2204161.25;2514939.25;117370.8984
19925;Multifamily HR (10+);High-Rise Multifamily;Skye at Belltown;47.61779;-122.34524;1949;1;18;393841;67222;326619;Multifamily Housing;81;17431872;19111216;1696366.75
19926;NonResidential;Small- and Mid-Sized Office;7th & Bell Building;47.61768;-122.34139;1965;1;1;23752;0;23752;Office;;1067153.75;1199844.875;167367.4063
19927;NonResidential;Hotel;The Loyal Inn;47.61822;-122.34132;1967;1;4;44416;0;44416;Hotel;61;2669564.25;2736926.5;438318.5938
19928;NonResidential;Mixed Use Property;Olympic Sculpture Park;47.61634;-122.35385;2006;1;2;33792;22867;10925;Social/Meeting Hall;;2547848;2622096.5;665206.1875
19930;Multifamily MR (5-9);Mid-Rise Multifamily;Senior Services;47.61361;-122.34461;2002;1;8;34080;0;34080;Multifamily Housing;;1494727;1534880.625;352984.6875
19931;Multifamily MR (5-9);Mid-Rise Multifamily;Belltown Court Condo HOA;47.61468;-122.34794;1994;1;8;224732;0;224732;Multifamily Housing;26;9851937;10229204;2270154.5
